id,vic,nsw,qld,act,nt,sa,tas,wa
296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,1.0,1.0,1.0,,,1.0,1.0,1.0
301,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
303,1.0,,1.0,,1.0,1.0,1.0,1.0
306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
320,,,,,,,,1.0
325,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
326,1.0,1.0,,,,1.0,1.0,1.0
327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
329,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
332,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
334,,,,,1.0,,,
337,1.0,1.0,,,1.0,,,1.0
339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
340,1.0,1.0,1.0,,,1.0,,
341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
342,1.0,1.0,1.0,,1.0,1.0,,1.0
343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
349,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
350,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
353,1.0,1.0,,,,,,1.0
355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
357,,1.0,1.0,,,,,1.0
358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
360,,,,,,1.0,,
361,1.0,,1.0,,,1.0,1.0,1.0
362,1.0,1.0,1.0,,,1.0,1.0,1.0
364,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
375,1.0,1.0,1.0,,,1.0,1.0,1.0
376,1.0,1.0,,,,1.0,1.0,1.0
379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
383,,1.0,1.0,,,,,1.0
386,1.0,,1.0,,,1.0,,1.0
387,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
393,1.0,1.0,,,,,,
395,1.0,1.0,1.0,,,1.0,1.0,1.0
397,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
398,1.0,1.0,1.0,,,1.0,1.0,1.0
399,1.0,,,,,1.0,1.0,1.0
402,1.0,1.0,1.0,,,1.0,1.0,1.0
403,,,,,,,,1.0
404,1.0,1.0,1.0,,,1.0,1.0,1.0
405,,,,,,,,
407,1.0,1.0,1.0,,,1.0,1.0,1.0
409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
410,,1.0,1.0,,1.0,,,1.0
414,1.0,1.0,1.0,,1.0,1.0,,1.0
419,1.0,1.0,,1.0,,1.0,1.0,
421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
423,,,,,,,,1.0
425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
426,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
438,1.0,1.0,1.0,1.0,,,,
439,,1.0,1.0,,1.0,1.0,,1.0
444,1.0,1.0,1.0,1.0,,1.0,,
462,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
475,,,1.0,,,,,
477,,,1.0,,,,,
490,,,1.0,,1.0,,,1.0
495,,1.0,,,,,,
501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
508,,1.0,1.0,,1.0,,,1.0
514,,,,,,,,1.0
520,,,,,1.0,,,1.0
523,1.0,1.0,1.0,1.0,,,1.0,
538,1.0,1.0,1.0,1.0,,,,
541,,1.0,1.0,,1.0,,,1.0
543,1.0,1.0,1.0,1.0,,1.0,1.0,
642,1.0,1.0,1.0,1.0,,1.0,1.0,
675,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
689,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
745,1.0,1.0,1.0,1.0,,1.0,,
746,,,,,,,1.0,
748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
756,,,,,,,,1.0
758,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
763,1.0,1.0,1.0,,,,,1.0
774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
779,1.0,1.0,1.0,1.0,1.0,1.0,,
808,,,1.0,,1.0,,,1.0
826,,,,,,,,1.0
829,,1.0,1.0,,1.0,1.0,,1.0
833,,,1.0,,1.0,,,1.0
835,1.0,1.0,1.0,1.0,,1.0,,1.0
836,,,1.0,,,,,1.0
838,,,,,,,,1.0
842,1.0,1.0,1.0,1.0,,1.0,1.0,
850,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
852,,1.0,,,,,,1.0
853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
