Idx,Common name,Binomial,voice_url,URL to list of all the species bird calls,
186,Fiordland penguin,Eudyptes pachyrhynchus,,http://www.xeno-canto.org/species/Eudyptes-pachyrhynchus,
187,Erect-crested penguin,Eudyptes sclateri,,http://www.xeno-canto.org/species/Eudyptes-sclateri,
189,Royal penguin,Eudyptes schlegeli,,http://www.xeno-canto.org/species/Eudyptes-schlegeli,
190,Little penguin,Eudyptula minor,,http://www.xeno-canto.org/species/Eudyptula-minor,
191,Magellanic penguin,Spheniscus magellanicus,,http://www.xeno-canto.org/species/Spheniscus-magellanicus,
192,Lesser frigatebird,Fregata ariel,,http://www.xeno-canto.org/species/Fregata-ariel,*none
194,Christmas frigatebird,Fregata andrewsi,,http://www.xeno-canto.org/species/Fregata-andrewsi,
197,Australasian gannet,Morus serrator,,http://www.xeno-canto.org/species/Morus-serrator,
198,Masked booby,Sula dactylatra,,http://www.xeno-canto.org/species/Sula-dactylatra,
203,Great cormorant,Phalacrocorax carbo,,http://www.xeno-canto.org/species/Phalacrocorax-carbo,
207,Macquarie shag,Phalacrocorax purpurascens,,http://www.xeno-canto.org/species/Leucocarbo-purpurascens,*none
209,Kerguelen shag,Phalacrocorax verrucosus,,http://www.xeno-canto.org/species/Leucocarbo-verrucosus,*none
237,Yellow-billed spoonbill,Platalea flavipes,,http://www.xeno-canto.org/species/Platalea-flavipes,*none
238,Black-necked stork,Ephippiorhynchus asiaticus,,http://www.xeno-canto.org/species/Ephippiorhynchus-asiaticus,*none
245,White-bellied sea eagle,Haliaeetus leucogaster,,http://www.xeno-canto.org/species/Haliaeetus-leucogaster,
254,Swamp harrier,Circus approximans,,http://www.xeno-canto.org/species/Circus-approximans,
257,Wedge-tailed eagle,Aquila audax,,http://www.xeno-canto.org/species/Aquila-audax,
258,Little eagle,Hieraaetus morphnoides,,http://www.xeno-canto.org/species/Hieraaetus-morphnoides,
267,Brolga,Grus rubicunda,,http://www.xeno-canto.org/species/Grus-rubicunda,
272,Red-legged crake,Rallina fasciata,,http://www.xeno-canto.org/species/Rallina-fasciata,
283,White-breasted waterhen,Amaurornis phoenicurus,,http://www.xeno-canto.org/species/Amaurornis-phoenicurus,
287,Dusky moorhen,Gallinula tenebrosa,,http://www.xeno-canto.org/species/Gallinula-tenebrosa,
289,Australian bustard,Ardeotis australis,http://www.xeno-canto.org/156198,http://www.xeno-canto.org/species/Ardeotis-australis,
290,Black-faced sheathbill,Chionis minor,http://www.xeno-canto.org/287263,http://www.xeno-canto.org/species/Chionis-minor,
296,Black-winged stilt,Himantopus himantopus,,http://www.xeno-canto.org/species/Himantopus-himantopus,
299,Pacific golden plover,Pluvialis fulva,,http://www.xeno-canto.org/species/Pluvialis-fulva,
303,Little ringed plover,Charadrius dubius,,http://www.xeno-canto.org/species/Charadrius-dubius,
306,Double-banded plover,Charadrius bicinctus,,http://www.xeno-canto.org/species/Charadrius-bicinctus,
325,Black-tailed godwit,Limosa limosa,,http://www.xeno-canto.org/species/Limosa-limosa,
326,Hudsonian godwit,Limosa haemastica,,http://www.xeno-canto.org/species/Limosa-haemastica,
327,Bar-tailed godwit,Limosa lapponica,,http://www.xeno-canto.org/species/Limosa-lapponica,
329,Whimbrel,Numenius phaeopus,,http://www.xeno-canto.org/species/Numenius-phaeopus,
332,Terek sandpiper,Xenus cinereus,,http://www.xeno-canto.org/species/Xenus-cinereus,
333,Common sandpiper,Actitis hypoleucos,,http://www.xeno-canto.org/species/Actitis-hypoleucos,
334,Green sandpiper,Tringa ochropus,,http://www.xeno-canto.org/species/Tringa-ochropus,
337,Spotted redshank,Tringa erythropus,,http://www.xeno-canto.org/species/Tringa-erythropus,
339,Common greenshank,Tringa nebularia,,http://www.xeno-canto.org/species/Tringa-nebularia,
340,Lesser yellowlegs,Tringa flavipes,,http://www.xeno-canto.org/species/Tringa-flavipes,
341,Marsh sandpiper,Tringa stagnatilis,,http://www.xeno-canto.org/species/Tringa-stagnatilis,
342,Common redshank,Tringa totanus,,http://www.xeno-canto.org/species/Tringa-totanus,
343,Wood sandpiper,Tringa glareola,,http://www.xeno-canto.org/species/Tringa-glareola,
344,Ruddy turnstone,Arenaria interpres,,http://www.xeno-canto.org/species/Arenaria-interpres,
348,Red knot,Calidris canutus,,http://www.xeno-canto.org/species/Calidris-canutus,
349,Sanderling,Calidris alba,,http://www.xeno-canto.org/species/Calidris-alba,
350,Little stint,Calidris minuta,,http://www.xeno-canto.org/species/Calidris-minuta,
353,White-rumped sandpiper,Calidris fuscicollis,,http://www.xeno-canto.org/species/Calidris-fuscicollis,
355,Pectoral sandpiper,Calidris melanotos,,http://www.xeno-canto.org/species/Calidris-melanotos,
356,Sharp-tailed sandpiper,Calidris acuminata,,http://www.xeno-canto.org/species/Calidris-acuminata,
357,Dunlin,Calidris alpina,,http://www.xeno-canto.org/species/Calidris-alpina,
358,Curlew sandpiper,Calidris ferruginea,,http://www.xeno-canto.org/species/Calidris-ferruginea,
360,Buff-breasted sandpiper,Tryngites subruficollis,,http://www.xeno-canto.org/species/Tryngites-subruficollis,
361,Broad-billed sandpiper,Limicola falcinellus,,http://www.xeno-canto.org/species/Limicola-falcinellus,
362,Ruff,Philomachus pugnax,,http://www.xeno-canto.org/species/Philomachus-pugnax,
364,Red-necked phalarope,Phalaropus lobatus,,http://www.xeno-canto.org/species/Phalaropus-lobatus,
383,White tern,Gygis alba,,http://www.xeno-canto.org/species/Gygis-alba,
387,Little tern,Sternula albifrons,,http://www.xeno-canto.org/species/Sternula-albifrons,
395,White-fronted tern,Sterna striata,,http://www.xeno-canto.org/species/Sterna-striata,
397,Common tern,Sterna hirundo,,http://www.xeno-canto.org/species/Sterna-hirundo,
398,Arctic tern,Sterna paradisaea,,http://www.xeno-canto.org/species/Sterna-paradisaea,
399,Antarctic tern,Sterna vittata,,http://www.xeno-canto.org/species/Sterna-vittata,
404,Kelp gull,Larus dominicanus,,http://www.xeno-canto.org/species/Larus-dominicanus,
405,Mew gull,Larus canus,,http://www.xeno-canto.org/species/Larus-canus,
410,Black-headed gull,Chroicocephalus ridibundus,,http://www.xeno-canto.org/species/Chroicocephalus-ridibundus,
414,Red-tailed black cockatoo,Calyptorhynchus banksii,,http://www.xeno-canto.org/species/Calyptorhynchus-banksii,
419,Gang-gang cockatoo,Callocephalon fimbriatum,,http://www.xeno-canto.org/species/Callocephalon-fimbriatum,
421,Galah,Eolophus roseicapilla,,http://www.xeno-canto.org/species/Eolophus-roseicapilla,
422,Long-billed corella,Cacatua tenuirostris,,http://www.xeno-canto.org/species/Cacatua-tenuirostris,
423,Western corella,Cacatua pastinator,,http://www.xeno-canto.org/species/Cacatua-pastinator,
425,Sulphur-crested cockatoo,Cacatua galerita,,http://www.xeno-canto.org/species/Cacatua-galerita,
426,Cockatiel,Nymphicus hollandicus,,http://www.xeno-canto.org/species/Nymphicus-hollandicus,
427,Rainbow lorikeet,Trichoglossus moluccanus,,http://www.xeno-canto.org/species/Trichoglossus-moluccanus,
438,Australian king parrot,Alisterus scapularis,,http://www.xeno-canto.org/species/Alisterus-scapularis,
439,Red-winged parrot,Aprosmictus erythropterus,,http://www.xeno-canto.org/species/Aprosmictus-erythropterus,
444,Crimson rosella,Platycercus elegans,,http://www.xeno-canto.org/species/Platycercus-elegans,
462,Budgerigar,Melopsittacus undulatus,,http://www.xeno-canto.org/species/Melopsittacus-undulatus,
477,Long-tailed cuckoo,Eudynamys taitensis,,,
495,Buffy fish owl,Bubo ketupu,,http://www.xeno-canto.org/species/Ketupa-ketupu,
523,Superb lyrebird,Menura novaehollandiae,,http://www.xeno-canto.org/species/Menura-novaehollandiae,
538,Satin bowerbird,Ptilonorhynchus violaceus,,http://www.xeno-canto.org/species/Ptilonorhynchus-violaceus,
746,Black currawong,Strepera fuliginosa,,http://www.xeno-canto.org/species/Strepera-fuliginosa,
751,New Zealand fantail,Rhipidura fuliginosa,,http://www.xeno-canto.org/species/Rhipidura-fuliginosa,
756,Brown shrike,Lanius cristatus,,http://www.xeno-canto.org/species/Lanius-cristatus,
758,Australian raven,Corvus coronoides,,http://www.xeno-canto.org/species/Corvus-coronoides,
763,House crow,Corvus splendens,,http://www.xeno-canto.org/species/Corvus-splendens,
808,Zitting cisticola,Cisticola juncidis,,http://www.xeno-canto.org/species/Cisticola-juncidis,
826,Arctic warbler,Phylloscopus borealis,,http://www.xeno-canto.org/species/Phylloscopus-borealis,
833,Red-rumped swallow,Cecropis daurica,,http://www.xeno-canto.org/species/Cecropis-daurica,
842,Bassian thrush,Zoothera lunulata,,http://www.xeno-canto.org/species/Zoothera-lunulata,
853,Common myna,Acridotheres tristis,,http://www.xeno-canto.org/species/Acridotheres-tristis,
881,Red-throated pipit,Anthus cervinus,,http://www.xeno-canto.org/species/Anthus-cervinus,
883,Eastern yellow wagtail,Motacilla tschutschensis,,http://www.xeno-canto.org/species/Motacilla-tschutschensis,
885,Citrine wagtail,Motacilla citreola,,http://www.xeno-canto.org/species/Motacilla-citreola,
890,Common redpoll,Acanthis flammea,,http://www.xeno-canto.org/species/Acanthis-flammea,
892,Yellowhammer,Emberiza citrinella,,http://www.xeno-canto.org/species/Emberiza-citrinella,
