,Common name,Binomial,Category,Order,Family
73,Wompoo fruit dove,Ptilinopus magnificus,Pigeons and doves,Columbiformes,Columbidae
74,Superb fruit dove,Ptilinopus superbus,Pigeons and doves,Columbiformes,Columbidae
75,Rose-crowned fruit dove,Ptilinopus regina,Pigeons and doves,Columbiformes,Columbidae
76,Orange-bellied fruit dove,Ptilinopus iozonus,Pigeons and doves,Columbiformes,Columbidae
77,Elegant imperial pigeon,Ducula concinna,Pigeons and doves,Columbiformes,Columbidae
78,Christmas imperial pigeon,Ducula whartoni,Pigeons and doves,Columbiformes,Columbidae
79,Collared imperial pigeon,Ducula mullerii,Pigeons and doves,Columbiformes,Columbidae
80,Torresian imperial pigeon,Ducula spilorrhoa,Pigeons and doves,Columbiformes,Columbidae
81,Topknot pigeon,Lopholaimus antarcticus,Pigeons and doves,Columbiformes,Columbidae
82,New Zealand pigeon,Hemiphaga novaeseelandiae,Pigeons and doves,Columbiformes,Columbidae
83,Tawny frogmouth,Podargus strigoides,Frogmouths,Podargiformes,Podargidae
84,Papuan frogmouth,Podargus papuensis,Frogmouths,Podargiformes,Podargidae
85,Marbled frogmouth,Podargus ocellatus,Frogmouths,Podargiformes,Podargidae
86,White-throated nightjar,Eurostopodus mystacalis,Nightjars,Caprimulgiformes,Eurostopodidae and Caprimulgidae
87,Spotted nightjar,Eurostopodus argus,Nightjars,Caprimulgiformes,Eurostopodidae and Caprimulgidae
88,Large-tailed nightjar,Caprimulgus macrurus,Nightjars,Caprimulgiformes,Eurostopodidae and Caprimulgidae
89,Savanna nightjar,Caprimulgus affinis,Nightjars,Caprimulgiformes,Eurostopodidae and Caprimulgidae
90,Grey nightjar,Caprimulgus jotaka,Nightjars,Caprimulgiformes,Eurostopodidae and Caprimulgidae
91,Australian owlet-nightjar,Aegotheles cristatus,Owlet-nightjars,Aegotheliformes,Aegothelidae
92,Glossy swiftlet,Collocalia esculenta,Swifts,Apodiformes,Apodidae
93,Cave swiftlet,Collocalia linchi,Swifts,Apodiformes,Apodidae
94,Australian swiftlet,Aerodramus terraereginae,Swifts,Apodiformes,Apodidae
95,Uniform swiftlet,Aerodramus vanikorensis,Swifts,Apodiformes,Apodidae
96,White-throated needletail,Hirundapus caudacutus,Swifts,Apodiformes,Apodidae
97,Papuan spine-tailed swift,Mearnsia novaeguineae,Swifts,Apodiformes,Apodidae
98,Pacific swift,Apus pacificus,Swifts,Apodiformes,Apodidae
99,House swift,Apus affinis,Swifts,Apodiformes,Apodidae
100,Swinhoe's storm petrel,Hydrobates monorhis,Storm petrels,Procellariiformes,Hydrobatidae
101,Leach's storm petrel,Hydrobates leucorhoa,Storm petrels,Procellariiformes,Hydrobatidae
102,Tristram's storm petrel,Hydrobates tristrami,Storm petrels,Procellariiformes,Hydrobatidae
103,Matsudaira's storm petrel,Hydrobates matsudairae,Storm petrels,Procellariiformes,Hydrobatidae
104,Polynesian storm petrel,Nesofregetta fuliginosa,Storm petrels,Procellariiformes,Hydrobatidae
105,Wilson's storm petrel,Oceanites oceanicus,Storm petrels,Procellariiformes,Hydrobatidae
106,Grey-backed storm petrel,Garrodia nereis,Storm petrels,Procellariiformes,Hydrobatidae
107,White-faced storm petrel,Pelagodroma marina,Storm petrels,Procellariiformes,Hydrobatidae
108,Black-bellied storm petrel,Fregetta tropica,Storm petrels,Procellariiformes,Hydrobatidae
109,White-bellied storm petrel,Fregetta grallaria,Storm petrels,Procellariiformes,Hydrobatidae
110,Wandering albatross,Diomedea exulans,Albatrosses,Procellariiformes,Diomedeidae
