,Unnamed: 0,Common name,Binomial,Notes,Category,Order,Family,colour,size,Common_name_lowercase,link,Height,Length,Weight,Image,Voice,Habitat,Description,Range,Movements,Reproduction,Diet,Protection,Sources
60,60,Flock bronzewing,Phaps histrionica,,Pigeons and doves,Columbiformes,Columbidae,,,flock-bronzewing,http://www.oiseaux-birds.com/card-flock-bronzewing.html,,,,,,,,,,,,,
63,63,Partridge pigeon,Geophaps smithii,,Pigeons and doves,Columbiformes,Columbidae,,,partridge-pigeon,http://www.oiseaux-birds.com/card-partridge-pigeon.html,,,,,,,,,,,,,
64,64,Squatter pigeon,Geophaps scripta,,Pigeons and doves,Columbiformes,Columbidae,,,squatter-pigeon,http://www.oiseaux-birds.com/card-squatter-pigeon.html,,,,,,,,,,,,,
65,65,White-quilled rock pigeon,Petrophassa albipennis,,Pigeons and doves,Columbiformes,Columbidae,,,white-quilled-rock-pigeon,http://www.oiseaux-birds.com/card-white-quilled-rock-pigeon.html,,,,,,,,,,,,,
66,66,Chestnut-quilled rock pigeon,Petrophassa rufipennis,,Pigeons and doves,Columbiformes,Columbidae,,,chestnut-quilled-rock-pigeon,http://www.oiseaux-birds.com/card-chestnut-quilled-rock-pigeon.html,,,,,,,,,,,,,
67,67,Diamond dove,Geopelia cuneata,,Pigeons and doves,Columbiformes,Columbidae,,,diamond-dove,http://www.oiseaux-birds.com/card-diamond-dove.html,,,,,,,,,,,,,
71,71,Norfolk ground dove,Gallicolumba norfolciensis,"extinct, Norfolk Island",Pigeons and doves,Columbiformes,Columbidae,,,norfolk-ground-dove,http://www.oiseaux-birds.com/card-norfolk-ground-dove.html,,,,,,,,,,,,,
72,72,Black-banded fruit dove,Ptilinopus alligator,,Pigeons and doves,Columbiformes,Columbidae,,,black-banded-fruit-dove,http://www.oiseaux-birds.com/card-black-banded-fruit-dove.html,,,,,,,,,,,,,
73,73,Wompoo fruit dove,Ptilinopus magnificus,,Pigeons and doves,Columbiformes,Columbidae,,,wompoo-fruit-dove,http://www.oiseaux-birds.com/card-wompoo-fruit-dove.html,,,,,,,,,,,,,
74,74,Superb fruit dove,Ptilinopus superbus,,Pigeons and doves,Columbiformes,Columbidae,,,superb-fruit-dove,http://www.oiseaux-birds.com/card-superb-fruit-dove.html,,,,,,,,,,,,,
75,75,Rose-crowned fruit dove,Ptilinopus regina,,Pigeons and doves,Columbiformes,Columbidae,,,rose-crowned-fruit-dove,http://www.oiseaux-birds.com/card-rose-crowned-fruit-dove.html,,,,,,,,,,,,,
76,76,Orange-bellied fruit dove,Ptilinopus iozonus,"vagrant, Torres Strait",Pigeons and doves,Columbiformes,Columbidae,,,orange-bellied-fruit-dove,http://www.oiseaux-birds.com/card-orange-bellied-fruit-dove.html,,,,,,,,,,,,,
77,77,Elegant imperial pigeon,Ducula concinna,vagrant,Pigeons and doves,Columbiformes,Columbidae,,,elegant-imperial-pigeon,http://www.oiseaux-birds.com/card-elegant-imperial-pigeon.html,,,,,,,,,,,,,
78,78,Christmas imperial pigeon,Ducula whartoni,Christmas Island,Pigeons and doves,Columbiformes,Columbidae,,,christmas-imperial-pigeon,http://www.oiseaux-birds.com/card-christmas-imperial-pigeon.html,,,,,,,,,,,,,
79,79,Collared imperial pigeon,Ducula mullerii,"vagrant, Torres Strait",Pigeons and doves,Columbiformes,Columbidae,,,collared-imperial-pigeon,http://www.oiseaux-birds.com/card-collared-imperial-pigeon.html,,,,,,,,,,,,,
80,80,Torresian imperial pigeon,Ducula spilorrhoa,,Pigeons and doves,Columbiformes,Columbidae,,,torresian-imperial-pigeon,http://www.oiseaux-birds.com/card-torresian-imperial-pigeon.html,,,,,,,,,,,,,
81,81,Topknot pigeon,Lopholaimus antarcticus,,Pigeons and doves,Columbiformes,Columbidae,,,topknot-pigeon,http://www.oiseaux-birds.com/card-topknot-pigeon.html,,,,,,,,,,,,,
84,84,Papuan frogmouth,Podargus papuensis,,Frogmouths,Podargiformes,Podargidae,,,papuan-frogmouth,http://www.oiseaux-birds.com/card-papuan-frogmouth.html,,,,,,,,,,,,,
85,85,Marbled frogmouth,Podargus ocellatus,,Frogmouths,Podargiformes,Podargidae,,,marbled-frogmouth,http://www.oiseaux-birds.com/card-marbled-frogmouth.html,,,,,,,,,,,,,
86,86,White-throated nightjar,Eurostopodus mystacalis,,Nightjars,Caprimulgiformes,Eurostopodidae and Caprimulgidae,,,white-throated-nightjar,http://www.oiseaux-birds.com/card-white-throated-nightjar.html,,,,,,,,,,,,,
87,87,Spotted nightjar,Eurostopodus argus,,Nightjars,Caprimulgiformes,Eurostopodidae and Caprimulgidae,,,spotted-nightjar,http://www.oiseaux-birds.com/card-spotted-nightjar.html,,,,,,,,,,,,,
89,89,Savanna nightjar,Caprimulgus affinis,"vagrant, Christmas Island",Nightjars,Caprimulgiformes,Eurostopodidae and Caprimulgidae,,,savanna-nightjar,http://www.oiseaux-birds.com/card-savanna-nightjar.html,,,,,,,,,,,,,
90,90,Grey nightjar,Caprimulgus jotaka,"vagrant, Ashmore Reef",Nightjars,Caprimulgiformes,Eurostopodidae and Caprimulgidae,,,grey-nightjar,http://www.oiseaux-birds.com/card-grey-nightjar.html,,,,,,,,,,,,,
91,91,Australian owlet-nightjar,Aegotheles cristatus,,Owlet-nightjars,Aegotheliformes,Aegothelidae,,,australian-owlet-nightjar,http://www.oiseaux-birds.com/card-australian-owlet-nightjar.html,,,,,,,,,,,,,
92,92,Glossy swiftlet,Collocalia esculenta,vagrant,Swifts,Apodiformes,Apodidae,,,glossy-swiftlet,http://www.oiseaux-birds.com/card-glossy-swiftlet.html,,,,,,,,,,,,,
93,93,Cave swiftlet,Collocalia linchi,Christmas Island,Swifts,Apodiformes,Apodidae,,,cave-swiftlet,http://www.oiseaux-birds.com/card-cave-swiftlet.html,,,,,,,,,,,,,
94,94,Australian swiftlet,Aerodramus terraereginae,,Swifts,Apodiformes,Apodidae,,,australian-swiftlet,http://www.oiseaux-birds.com/card-australian-swiftlet.html,,,,,,,,,,,,,
95,95,Uniform swiftlet,Aerodramus vanikorensis,vagrant,Swifts,Apodiformes,Apodidae,,,uniform-swiftlet,http://www.oiseaux-birds.com/card-uniform-swiftlet.html,,,,,,,,,,,,,
96,96,White-throated needletail,Hirundapus caudacutus,,Swifts,Apodiformes,Apodidae,,,white-throated-needletail,http://www.oiseaux-birds.com/card-white-throated-needletail.html,,,,,,,,,,,,,
97,97,Papuan spine-tailed swift,Mearnsia novaeguineae,"vagrant, Torres Strait",Swifts,Apodiformes,Apodidae,,,papuan-spine-tailed-swift,http://www.oiseaux-birds.com/card-papuan-spine-tailed-swift.html,,,,,,,,,,,,,
98,98,Pacific swift,Apus pacificus,,Swifts,Apodiformes,Apodidae,,,pacific-swift,http://www.oiseaux-birds.com/card-pacific-swift.html,,,,,,,,,,,,,
99,99,House swift,Apus affinis,vagrant,Swifts,Apodiformes,Apodidae,,,house-swift,http://www.oiseaux-birds.com/card-house-swift.html,,,,,,,,,,,,,
100,100,Swinhoe's storm petrel,Hydrobates monorhis,vagrant,Storm petrels,Procellariiformes,Hydrobatidae,,,swinhoe's-storm-petrel,http://www.oiseaux-birds.com/card-swinhoe's-storm-petrel.html,,,,,,,,,,,,,
101,101,Leach's storm petrel,Hydrobates leucorhoa,vagrant,Storm petrels,Procellariiformes,Hydrobatidae,,,leach's-storm-petrel,http://www.oiseaux-birds.com/card-leach's-storm-petrel.html,,,,,,,,,,,,,
102,102,Tristram's storm petrel,Hydrobates tristrami,vagrant,Storm petrels,Procellariiformes,Hydrobatidae,,,tristram's-storm-petrel,http://www.oiseaux-birds.com/card-tristram's-storm-petrel.html,,,,,,,,,,,,,
103,103,Matsudaira's storm petrel,Hydrobates matsudairae,vagrant,Storm petrels,Procellariiformes,Hydrobatidae,,,matsudaira's-storm-petrel,http://www.oiseaux-birds.com/card-matsudaira's-storm-petrel.html,,,,,,,,,,,,,
104,104,Polynesian storm petrel,Nesofregetta fuliginosa,vagrant,Storm petrels,Procellariiformes,Hydrobatidae,,,polynesian-storm-petrel,http://www.oiseaux-birds.com/card-polynesian-storm-petrel.html,,,,,,,,,,,,,
105,105,Wilson's storm petrel,Oceanites oceanicus,,Storm petrels,Procellariiformes,Hydrobatidae,,,wilson's-storm-petrel,http://www.oiseaux-birds.com/card-wilson's-storm-petrel.html,,,,,,,,,,,,,
107,107,White-faced storm petrel,Pelagodroma marina,,Storm petrels,Procellariiformes,Hydrobatidae,,,white-faced-storm-petrel,http://www.oiseaux-birds.com/card-white-faced-storm-petrel.html,,,,,,,,,,,,,
109,109,White-bellied storm petrel,Fregetta grallaria,,Storm petrels,Procellariiformes,Hydrobatidae,,,white-bellied-storm-petrel,http://www.oiseaux-birds.com/card-white-bellied-storm-petrel.html,,,,,,,,,,,,,
117,117,Salvin's albatross,Thalassarche salvini,,Albatrosses,Procellariiformes,Diomedeidae,,,salvin's-albatross,http://www.oiseaux-birds.com/card-salvin's-albatross.html,,,,,,,,,,,,,
118,118,Chatham albatross,Thalassarche eremita,,Albatrosses,Procellariiformes,Diomedeidae,,,chatham-albatross,http://www.oiseaux-birds.com/card-chatham-albatross.html,,,,,,,,,,,,,
121,121,Yellow-nosed albatross,Thalassarche carteri,,Albatrosses,Procellariiformes,Diomedeidae,,,yellow-nosed-albatross,http://www.oiseaux-birds.com/card-yellow-nosed-albatross.html,,,,,,,,,,,,,
122,122,Buller's albatross,Thalassarche bulleri,,Albatrosses,Procellariiformes,Diomedeidae,,,buller's-albatross,http://www.oiseaux-birds.com/card-buller's-albatross.html,,,,,,,,,,,,,
124,124,Light-mantled sooty albatross,Phoebetria palpebrata,,Albatrosses,Procellariiformes,Diomedeidae,,,light-mantled-sooty-albatross,http://www.oiseaux-birds.com/card-light-mantled-sooty-albatross.html,,,,,,,,,,,,,
133,133,Salvin's prion,Pachyptila salvini,,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,salvin's-prion,http://www.oiseaux-birds.com/card-salvin's-prion.html,,,,,,,,,,,,,
137,137,Fulmar prion,Pachyptila crassirostris,vagrant; Heard Island,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,fulmar-prion,http://www.oiseaux-birds.com/card-fulmar-prion.html,,,,,,,,,,,,,
142,142,Bulwer's petrel,Bulweria bulwerii,vagrant,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,bulwer's-petrel,http://www.oiseaux-birds.com/card-bulwer's-petrel.html,,,,,,,,,,,,,
143,143,Jouanin's petrel,Bulweria fallax,vagrant,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,jouanin's-petrel,http://www.oiseaux-birds.com/card-jouanin's-petrel.html,,,,,,,,,,,,,
145,145,Buller's shearwater,Ardenna bulleri,,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,buller's-shearwater,http://www.oiseaux-birds.com/card-buller's-shearwater.html,,,,,,,,,,,,,
150,150,Short-tailed shearwater,Ardenna tenuirostris,,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,short-tailed-shearwater,http://www.oiseaux-birds.com/card-short-tailed-shearwater.html,,,,,,,,,,,,,
151,151,Streaked shearwater,Calonectris leucomelas,,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,streaked-shearwater,http://www.oiseaux-birds.com/card-streaked-shearwater.html,,,,,,,,,,,,,
152,152,Manx shearwater,Puffinus puffinus,vagrant,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,manx-shearwater,http://www.oiseaux-birds.com/card-manx-shearwater.html,,,,,,,,,,,,,
153,153,Newell's shearwater,Puffinus newelli,vagrant,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,newell's-shearwater,http://www.oiseaux-birds.com/card-newell's-shearwater.html,,,,,,,,,,,,,
