,Binomial,Category,Common name,Family,Notes,Order,colour,common_name_in_url,size,url,"('nsw', 'vic', 'tas', 'act', 'sa', 'wa', 'nt', 'qld')",nsw,vic,tas,act,sa,wa,nt,qld,min_weight,max_weight,min_length,max_length,images_url,voice_url,Description,Sourcescolour
59,Phaps elegans,Pigeons and doves,Brush bronzewing,Columbidae,,Columbiformes,,Brush_bronzewing,,https://en.wikipedia.org/wiki/Brush_bronzewing,,,,,,,,,,,,,,,,,
60,Phaps histrionica,Pigeons and doves,Flock bronzewing,Columbidae,,Columbiformes,,Flock_bronzewing,,https://en.wikipedia.org/wiki/Flock_bronzewing,,,,,,,,,,,,,,,,,
63,Geophaps smithii,Pigeons and doves,Partridge pigeon,Columbidae,,Columbiformes,,Partridge_pigeon,,https://en.wikipedia.org/wiki/Partridge_pigeon,,,,,,,,,,,,,,,,,
64,Geophaps scripta,Pigeons and doves,Squatter pigeon,Columbidae,,Columbiformes,,Squatter_pigeon,,https://en.wikipedia.org/wiki/Squatter_pigeon,,,,,,,,,,,,,,,,,
65,Petrophassa albipennis,Pigeons and doves,White-quilled rock pigeon,Columbidae,,Columbiformes,,White-quilled_rock_pigeon,,https://en.wikipedia.org/wiki/White-quilled_rock_pigeon,,,,,,,,,,,,,,,,,
66,Petrophassa rufipennis,Pigeons and doves,Chestnut-quilled rock pigeon,Columbidae,,Columbiformes,,Chestnut-quilled_rock_pigeon,,https://en.wikipedia.org/wiki/Chestnut-quilled_rock_pigeon,,,,,,,,,,,,,,,,,
67,Geopelia cuneata,Pigeons and doves,Diamond dove,Columbidae,,Columbiformes,,Diamond_dove,,https://en.wikipedia.org/wiki/Diamond_dove,,,,,,,,,,,,,,,,,
71,Gallicolumba norfolciensis,Pigeons and doves,Norfolk ground dove,Columbidae,"extinct, Norfolk Island",Columbiformes,,Norfolk_ground_dove,,https://en.wikipedia.org/wiki/Norfolk_ground_dove,,,,,,,,,,,,,,,,,
72,Ptilinopus alligator,Pigeons and doves,Black-banded fruit dove,Columbidae,,Columbiformes,,Black-banded_fruit_dove,,https://en.wikipedia.org/wiki/Black-banded_fruit_dove,,,,,,,,,,,,,,,,,
73,Ptilinopus magnificus,Pigeons and doves,Wompoo fruit dove,Columbidae,,Columbiformes,,Wompoo_fruit_dove,,https://en.wikipedia.org/wiki/Wompoo_fruit_dove,,,,,,,,,,,,,,,,,
